Index Name,S&P/BMV Total Mexico Index (MXN) TR
18-Jul-23,183.8738259
17-Jul-23,182.4956651
14-Jul-23,183.0586951
13-Jul-23,184.6305045
12-Jul-23,183.4026002
11-Jul-23,184.0182899
10-Jul-23,182.3659172
7-Jul-23,183.2264229
6-Jul-23,181.5593088
5-Jul-23,183.6033044
4-Jul-23,183.2297243
3-Jul-23,184.7128597
30-Jun-23,181.7685646
29-Jun-23,182.1383035
28-Jun-23,181.612909
27-Jun-23,183.0217642
26-Jun-23,180.9706798
23-Jun-23,180.9590403
22-Jun-23,181.9271903
21-Jun-23,183.61345
20-Jun-23,184.6989989
19-Jun-23,186.3158767
16-Jun-23,186.2145203
15-Jun-23,187.7166681
14-Jun-23,187.0445723
13-Jun-23,185.0607082
12-Jun-23,184.1043193
9-Jun-23,184.8688658
8-Jun-23,184.2226619
7-Jun-23,182.9820706
6-Jun-23,183.5111812
5-Jun-23,180.6250969
2-Jun-23,179.6846212
1-Jun-23,177.9580449
31-May-23,178.1487036
30-May-23,179.8529599
29-May-23,182.7415728
26-May-23,182.016008
25-May-23,180.950667
24-May-23,179.7520227
23-May-23,178.7367522
22-May-23,179.9297512
19-May-23,182.4832531
18-May-23,185.5411649
17-May-23,184.8564766
16-May-23,185.2097774
15-May-23,185.4584807
12-May-23,184.3521378
11-May-23,184.6996473
10-May-23,186.3637744
9-May-23,185.9921128
8-May-23,184.6704045
5-May-23,184.229233
4-May-23,183.2750993
3-May-23,184.0859997
2-May-23,184.8061678
28-Apr-23,184.7489198
27-Apr-23,182.5337062
26-Apr-23,181.2122018
25-Apr-23,182.3884074
24-Apr-23,183.5447149
21-Apr-23,181.838262
20-Apr-23,182.1606302
19-Apr-23,182.1622654
18-Apr-23,182.4544052
17-Apr-23,183.7126783
14-Apr-23,182.7913292
13-Apr-23,183.7094815
12-Apr-23,182.3803551
11-Apr-23,183.157047
10-Apr-23,181.4519959
5-Apr-23,179.534786
4-Apr-23,181.5844356
3-Apr-23,180.6368496
31-Mar-23,180.8142019
30-Mar-23,181.7386926
29-Mar-23,180.8019799
28-Mar-23,178.7790093
27-Mar-23,177.5729593
24-Mar-23,177.2308208
23-Mar-23,177.3054851
22-Mar-23,176.2756375
21-Mar-23,176.5208061
17-Mar-23,174.3229491
16-Mar-23,176.3666215
15-Mar-23,174.8718079
14-Mar-23,176.8770583
13-Mar-23,177.8878258
10-Mar-23,177.2784738
9-Mar-23,179.4919704
8-Mar-23,179.2270886
7-Mar-23,178.2139737
6-Mar-23,181.0789694
3-Mar-23,181.8604773
2-Mar-23,179.0436683
1-Mar-23,179.5422241
28-Feb-23,177.2584098
27-Feb-23,177.9227543
24-Feb-23,176.8563239
23-Feb-23,178.0463307
22-Feb-23,178.4373644
21-Feb-23,178.6618356
20-Feb-23,180.9454036
17-Feb-23,180.4561863
16-Feb-23,181.1526089
15-Feb-23,179.5020151
14-Feb-23,177.30988
13-Feb-23,178.3948086
10-Feb-23,176.3294058
9-Feb-23,177.2170281
8-Feb-23,178.2572055
7-Feb-23,178.8556349
3-Feb-23,181.3026664
2-Feb-23,180.7213344
1-Feb-23,184.4093938
31-Jan-23,182.6774761
30-Jan-23,182.4309783
27-Jan-23,183.3391173
26-Jan-23,184.4907482
25-Jan-23,183.4330049
24-Jan-23,183.3693234
23-Jan-23,181.81592
20-Jan-23,180.4834978
19-Jan-23,178.6857227
18-Jan-23,178.1386732
17-Jan-23,177.9454673
16-Jan-23,179.5653496
13-Jan-23,179.3446961
12-Jan-23,179.3721276
11-Jan-23,178.0169096
10-Jan-23,175.1793475
9-Jan-23,175.0159978
6-Jan-23,173.2732357
5-Jan-23,170.25023
4-Jan-23,168.2205462
3-Jan-23,164.5525284
2-Jan-23,164.3313474
30-Dec-22,162.5289714
29-Dec-22,165.8482965
28-Dec-22,166.1997223
27-Dec-22,168.8702882
26-Dec-22,168.3621159
23-Dec-22,169.2252004
